"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"315806559814942720","","","2013-03-24 12:45:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @babumoshoy: Ravindra Jadeja cracked the joke that made Mona Lisa smile. She otherwise was in a real foul mood. #JadejaFacts","315769262369275904","23560475","2013-03-24 10:17:13 +0000",""
"310797218879791104","","","2013-03-10 17:00:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","There is no stopping the red devils tonight! #mantutdchelsea #rooney","","","",""
"301381206342238209","","","2013-02-12 17:24:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","literally can not wait for Real Madrid v Man United tomorrow.. Game of the year so far by a mile, lets just hope it lives up to the hype!","","","",""
"301380240083652608","","","2013-02-12 17:20:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Calling Yasin Malik moderate speaks of media ignorance. Or is it deliberately turning a blind eye despite its own revelations??","","","",""
"299033301128208384","","18839785","2013-02-06 05:54:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@narendramodi Is 'untouchability' still going in your state? what is ur reaction for the school students who oppose mid day meals?","","","",""
"298305541397176321","","","2013-02-04 05:42:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#NothingFeelsBetterThan knowing that my life isn't perfect but I'm grateful for what I do have :-)","","","",""
"287271000381476865","","","2013-01-04 18:55:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#MyLifeStory , I've loved, I've lied, I've hurt, I've lost, I've missed, I've trusted, I've made mistakes and best of all, I've learned. ^_^","","","",""
"287255550117421056","","","2013-01-04 17:53:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2 FB girls were arrested for nothing, now after the hate-speech, where is Owaisi?! The Govt breaks its back for Thackeray &amp; also minority.","","","",""
"285799646616494080","","","2012-12-31 17:28:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Happy New ... err NO. Survive a New Year :) http://t.co/OsWW1Gda","","","","https://twitter.com/deekshithmarla/status/285799646616494080/photo/1"
"263187280582307840","","","2012-10-30 07:55:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I didn't change, I grew up, there's a difference.","","","",""
